customer_id,name,email,join_date,preferred_channel,preferred_category,recency_days,frequency_purchases,monetary_total_spend,avg_order_value,website_visits_30d,product_views_30d,cart_additions_30d,cart_abandonments_30d,email_opens_30d,email_clicks_30d,support_tickets_30d,engagement_change_pct,return_rate,discount_dependency_ratio,spend_30d,spend_90d,purchase_velocity,churn_label,purchase_intent_label,clv,archetype
C1011,Varun Rao,varun.rao35@example.com,2024-01-15,Push,Fashion,159,3,6150.8,2050.27,0,4,1,1,0,0,2,-43.0,0.229,0.659,0.0,615.08,62.0,1,0,1537.7,dormant
C1012,Meera Patel,meera.patel17@example.com,2024-01-15,Phone,Electronics,100,3,2030.96,676.99,1,0,0,0,2,1,4,-80.2,0.059,0.495,0.0,203.1,92.0,1,0,1000.0,dormant
C1013,Neha Mehta,neha.mehta77@example.com,2024-01-15,SMS,Fashion,114,30,228388.01,7612.93,4,6,4,4,3,2,5,-33.6,0.171,0.412,0.0,22838.8,21.7,1,0,32012.91,at_risk
C1014,Priya Patel,priya.patel38@example.com,2024-01-15,Push,Electronics,21,10,24160.07,2416.01,34,115,15,4,12,17,0,76.2,0.026,0.795,7248.02,16912.05,9.5,0,1,58576.74,high_intent
C1015,Sanya Verma,sanya.verma14@example.com,2024-01-15,WhatsApp,Sports & Fitness,30,3,3711.52,1237.17,14,20,2,1,7,4,0,-14.8,0.103,0.412,1113.46,2598.06,122.7,0,0,5094.28,low_active
C1016,Ishita Kumar,ishita.kumar34@example.com,2024-01-15,WhatsApp,Beauty & Care,37,4,9987.18,2496.79,10,19,1,0,2,4,2,-12.8,0.062,0.235,0.0,6991.03,31.5,1,0,10029.79,low_active
C1017,Rahul Verma,rahul.verma41@example.com,2024-01-15,Email,Sports & Fitness,147,1,1746.6,1746.6,1,1,1,1,0,0,3,-73.5,0.063,0.487,0.0,174.66,226.0,1,0,1000.0,dormant
C1018,Riya Verma,riya.verma16@example.com,2024-01-15,Phone,Electronics,56,15,231049.58,15403.31,3,8,4,5,1,1,2,-43.1,0.277,0.489,0.0,161734.71,46.5,1,0,30248.6,at_risk
C1019,Neha Kumar,neha.kumar10@example.com,2024-01-15,Push,Beauty & Care,10,39,445206.83,11415.56,59,96,20,1,14,8,0,31.6,0.049,0.293,133562.05,311644.78,11.0,0,1,912922.68,loyal
C1020,Ananya Rao,ananya.rao79@example.com,2024-01-15,Push,Electronics,4,9,44079.87,4897.76,52,107,13,4,26,7,0,49.9,0.022,0.443,13223.96,30855.91,10.2,0,1,106768.75,high_intent
C1021,Rohan Rao,rohan.rao18@example.com,2024-01-15,SMS,Electronics,19,27,282288.51,10455.13,52,30,7,3,24,9,1,16.0,0.046,0.327,84686.55,197601.96,10.0,0,1,608589.36,loyal
C1022,Aditya Singh,aditya.singh40@example.com,2024-01-15,SMS,Fashion,10,41,312821.25,7629.79,35,34,5,3,11,5,2,31.4,0.026,0.119,93846.38,218974.88,7.3,0,1,684075.46,loyal
C1023,Aditya Joshi,aditya.joshi43@example.com,2024-01-15,Push,Electronics,76,19,109074.48,5740.76,5,4,4,6,2,2,7,-28.5,0.262,0.553,0.0,76352.14,8.7,1,0,27268.62,at_risk
C1024,Varun Sharma,varun.sharma95@example.com,2024-01-15,Push,Electronics,107,2,4214.69,2107.34,0,0,0,1,1,0,2,-80.7,0.229,0.624,0.0,421.47,298.5,1,0,1000.0,dormant
C1025,Aditya Mehta,aditya.mehta74@example.com,2024-01-15,Push,Electronics,20,4,11085.6,2771.4,8,6,1,2,8,2,2,-5.5,0.04,0.268,3325.68,7759.92,132.5,0,0,9715.75,low_active
C1026,Kabir Gupta,kabir.gupta66@example.com,2024-01-15,SMS,Sports & Fitness,46,11,185968.76,16906.25,2,4,1,4,4,2,3,-32.0,0.101,0.504,0.0,130178.13,54.0,1,0,28568.43,at_risk
C1027,Kavya Gupta,kavya.gupta15@example.com,2024-01-15,Push,Electronics,90,14,94861.66,6775.83,4,12,1,4,4,1,6,-69.0,0.168,0.677,0.0,66403.16,24.6,1,0,23715.42,at_risk
C1028,Vikram Patel,vikram.patel30@example.com,2024-01-15,SMS,Electronics,67,18,212749.93,11819.44,7,12,2,4,1,2,2,-39.8,0.173,0.689,0.0,148924.95,11.7,1,0,53187.48,at_risk
C1029,Arjun Sharma,arjun.sharma70@example.com,2024-01-15,Email,Beauty & Care,134,2,2007.13,1003.56,0,1,0,2,0,1,2,-65.1,0.11,0.471,0.0,200.71,128.5,1,0,1000.0,dormant
C1030,Kabir Verma,kabir.verma45@example.com,2024-01-15,Phone,Beauty & Care,18,33,333945.29,10119.55,16,39,13,1,16,4,0,22.6,0.014,0.17,100183.59,233761.7,11.8,0,1,672026.51,loyal
C1031,Tanvi Kumar,tanvi.kumar54@example.com,2024-01-15,SMS,Sports & Fitness,155,1,979.12,979.12,1,4,0,1,0,1,0,-82.8,0.148,0.891,0.0,97.91,351.0,1,0,1000.0,dormant
C1032,Varun Joshi,varun.joshi97@example.com,2024-01-15,Push,Beauty & Care,3,33,359755.91,10901.69,54,65,8,2,24,8,2,31.7,0.027,0.282,107926.77,251829.14,7.0,0,1,847084.37,loyal
C1033,Kavya Singh,kavya.singh61@example.com,2024-01-15,Phone,Fashion,69,21,288733.18,13749.2,7,12,2,6,4,1,5,-43.3,0.207,0.336,0.0,202113.23,15.8,1,0,72183.29,at_risk
C1034,Riya Sharma,riya.sharma48@example.com,2024-01-15,Email,Beauty & Care,52,5,7528.58,1505.72,14,15,4,3,5,2,2,-9.4,0.034,0.377,0.0,5270.01,64.6,1,0,4250.04,low_active
C1035,Ishita Gupta,ishita.gupta94@example.com,2024-01-15,Push,Sports & Fitness,57,5,4182.47,836.49,9,7,2,2,3,2,0,0.4,0.05,0.394,0.0,2927.73,23.2,1,0,3791.36,low_active
C1036,Aarav Sharma,aarav.sharma41@example.com,2024-01-15,Phone,Electronics,15,38,423195.43,11136.72,55,98,11,3,23,10,0,18.5,0.076,0.134,126958.63,296236.8,13.6,0,1,685049.59,loyal
C1037,Vikram Sharma,vikram.sharma23@example.com,2024-01-15,Email,Fashion,111,22,108439.1,4929.05,1,10,2,2,3,0,5,-28.8,0.275,0.403,0.0,10843.91,21.1,1,0,21279.72,at_risk
C1038,Varun Joshi,varun.joshi86@example.com,2024-01-15,SMS,Sports & Fitness,47,4,10391.56,2597.89,12,19,2,3,5,3,0,1.7,0.078,0.273,0.0,7274.09,88.5,1,0,11404.11,low_active
C1039,Kabir Joshi,kabir.joshi72@example.com,2024-01-15,Email,Home & Kitchen,15,16,219443.15,13715.2,60,61,12,2,18,9,2,36.5,0.054,0.185,65832.94,153610.2,41.9,0,1,278738.49,loyal
C1040,Rohan Gupta,rohan.gupta29@example.com,2024-01-15,SMS,Fashion,72,10,153412.47,15341.25,7,8,3,6,3,1,2,-30.1,0.277,0.612,0.0,107388.73,26.6,1,0,38353.12,at_risk
C1041,Aditya Kumar,aditya.kumar59@example.com,2024-01-15,WhatsApp,Sports & Fitness,15,9,18422.19,2046.91,20,85,17,10,22,19,1,31.3,0.092,0.643,5526.66,12895.53,69.8,0,1,19272.67,high_intent
C1042,Riya Joshi,riya.joshi87@example.com,2024-01-15,SMS,Fashion,9,39,146967.38,3768.39,46,28,17,2,20,15,0,28.2,0.01,0.14,44090.21,102877.17,6.5,0,1,349173.44,loyal
C1043,Siddharth Gupta,siddharth.gupta89@example.com,2024-01-15,WhatsApp,Beauty & Care,21,2,11994.64,5997.32,25,94,12,10,24,8,0,65.6,0.038,0.685,3598.39,8396.25,288.0,0,1,16516.94,high_intent
C1044,Kabir Kumar,kabir.kumar51@example.com,2024-01-15,SMS,Home & Kitchen,11,36,236429.86,6567.5,32,78,13,0,23,4,2,31.1,0.055,0.312,70928.96,165500.9,6.8,0,1,535668.05,loyal
C1045,Riya Sharma,riya.sharma54@example.com,2024-01-15,WhatsApp,Electronics,16,2,4100.56,2050.28,7,5,5,1,3,2,1,-12.2,0.063,0.28,1230.17,2870.39,129.5,0,0,6024.36,low_active
C1046,Priya Rao,priya.rao37@example.com,2024-01-15,Push,Home & Kitchen,6,19,278590.01,14662.63,25,64,8,0,17,13,2,18.8,0.072,0.258,83577.0,195013.01,26.6,0,1,448207.59,loyal
C1047,Arjun Kumar,arjun.kumar35@example.com,2024-01-15,Phone,Fashion,21,3,5717.4,1905.8,14,8,5,0,4,4,2,2.3,0.074,0.259,1715.22,4002.18,35.7,0,0,9532.39,low_active
C1048,Pooja Verma,pooja.verma74@example.com,2024-01-15,Push,Electronics,41,4,5670.8,1417.7,5,18,3,3,7,2,1,-14.3,0.088,0.253,0.0,3969.56,173.2,1,0,2123.03,low_active
C1049,Neha Joshi,neha.joshi93@example.com,2024-01-15,Phone,Sports & Fitness,189,2,4815.71,2407.86,1,3,1,1,0,0,2,-44.3,0.124,0.309,0.0,481.57,153.0,1,0,1203.93,dormant
C1050,Siddharth Patel,siddharth.patel69@example.com,2024-01-15,Phone,Beauty & Care,133,1,1356.37,1356.37,1,2,0,1,0,1,2,-41.7,0.243,0.812,0.0,135.64,613.0,1,0,1000.0,dormant
C1051,Rahul Mehta,rahul.mehta86@example.com,2024-01-15,Phone,Electronics,111,14,133653.26,9546.66,2,5,4,5,4,0,7,-32.4,0.163,0.368,0.0,13365.33,22.3,1,0,33413.32,at_risk
C1052,Ishita Chawla,ishita.chawla67@example.com,2024-01-15,WhatsApp,Home & Kitchen,10,8,60680.05,7585.01,64,71,17,9,28,11,1,68.7,0.066,0.439,18204.01,42476.03,5.9,0,1,145233.34,high_intent
C1053,Riya Joshi,riya.joshi54@example.com,2024-01-15,Phone,Home & Kitchen,14,9,71418.15,7935.35,37,79,16,5,13,17,0,29.8,0.061,0.751,21425.44,49992.7,51.7,0,1,126592.92,high_intent
C1054,Rahul Verma,rahul.verma78@example.com,2024-01-15,Email,Fashion,45,3,7000.3,2333.43,15,14,1,1,4,2,1,6.1,0.062,0.288,0.0,4900.21,73.0,0,0,8957.0,low_active
C1055,Neha Mehta,neha.mehta11@example.com,2024-01-15,Email,Home & Kitchen,17,1,2582.25,2582.25,12,14,2,3,2,1,2,11.0,0.112,0.353,774.67,1807.57,576.0,0,0,2589.72,low_active
C1056,Meera Chawla,meera.chawla71@example.com,2024-01-15,Push,Fashion,4,6,40133.51,6688.92,50,54,10,7,25,7,0,65.5,0.076,0.718,12040.05,28093.46,80.2,0,1,73713.25,high_intent
C1057,Vikram Gupta,vikram.gupta82@example.com,2024-01-15,WhatsApp,Fashion,105,3,3527.97,1175.99,1,4,0,2,1,1,3,-71.2,0.069,0.647,0.0,352.8,113.7,1,0,1000.0,dormant
C1058,Meera Rao,meera.rao64@example.com,2024-01-15,Phone,Sports & Fitness,2,18,149759.55,8319.98,28,52,13,0,13,7,0,24.0,0.03,0.248,44927.86,104831.68,19.0,0,1,353921.93,loyal
C1059,Riya Verma,riya.verma30@example.com,2024-01-15,SMS,Beauty & Care,20,42,124607.8,2966.85,33,29,12,2,17,15,1,33.8,0.035,0.132,37382.34,87225.46,5.0,0,1,281102.85,loyal
C1060,Rohan Patel,rohan.patel43@example.com,2024-01-15,Phone,Fashion,16,3,19514.87,6504.96,54,68,12,6,14,7,0,35.1,0.07,0.434,5854.46,13660.41,223.3,0,1,24185.17,high_intent
C1061,Neha Mehta,neha.mehta86@example.com,2024-01-15,Push,Beauty & Care,4,41,374819.25,9141.93,59,63,17,2,24,12,1,23.9,0.055,0.282,112445.77,262373.47,14.9,0,1,531002.94,loyal
C1062,Siddharth Verma,siddharth.verma86@example.com,2024-01-15,SMS,Home & Kitchen,167,2,3065.2,1532.6,0,0,0,2,2,0,2,-73.9,0.209,0.462,0.0,306.52,35.0,1,0,1000.0,dormant
C1063,Karan Sharma,karan.sharma32@example.com,2024-01-15,Phone,Beauty & Care,80,13,56338.86,4333.76,7,12,4,2,3,1,5,-73.7,0.293,0.634,0.0,39437.2,39.3,1,0,10060.51,at_risk
C1064,Rahul Singh,rahul.singh95@example.com,2024-01-15,Email,Home & Kitchen,41,4,6798.79,1699.7,8,17,5,0,5,1,1,-9.8,0.044,0.275,0.0,4759.15,34.2,1,0,7237.2,low_active
C1065,Kabir Singh,kabir.singh24@example.com,2024-01-15,Phone,Electronics,24,10,61448.73,6144.87,49,92,9,5,26,11,1,66.2,0.042,0.782,18434.62,43014.11,44.3,0,1,119628.6,high_intent
C1066,Siddharth Sharma,siddharth.sharma36@example.com,2024-01-15,Phone,Fashion,33,4,8078.32,2019.58,15,20,1,0,7,2,2,3.4,0.068,0.274,0.0,5654.82,75.8,0,0,11529.9,low_active
C1067,Neha Mehta,neha.mehta80@example.com,2024-01-15,Phone,Beauty & Care,56,15,238250.76,15883.38,2,9,1,3,3,2,4,-74.3,0.123,0.318,0.0,166775.53,5.0,1,0,59562.69,at_risk
C1068,Varun Mehta,varun.mehta63@example.com,2024-01-15,SMS,Fashion,15,21,277058.4,13193.26,39,49,9,0,16,10,1,29.6,0.043,0.124,83117.52,193940.88,25.0,0,1,448923.71,loyal
C1069,Varun Mehta,varun.mehta10@example.com,2024-01-15,Push,Sports & Fitness,21,9,41198.1,4577.57,29,97,25,7,21,11,1,32.1,0.055,0.559,12359.43,28838.67,35.4,0,1,79676.63,high_intent
C1070,Siddharth Singh,siddharth.singh34@example.com,2024-01-15,Phone,Beauty & Care,10,8,45024.87,5628.11,22,80,23,9,22,12,0,23.2,0.05,0.65,13507.46,31517.41,34.2,0,1,86005.67,high_intent
C1071,Ishita Sharma,ishita.sharma26@example.com,2024-01-15,Phone,Home & Kitchen,30,3,21201.55,7067.18,48,52,24,7,10,17,0,66.1,0.033,0.428,6360.46,14841.08,181.3,0,1,33288.33,high_intent
C1072,Kavya Gupta,kavya.gupta19@example.com,2024-01-15,Push,Home & Kitchen,22,8,13378.59,1672.32,61,50,18,10,27,12,1,61.0,0.095,0.63,4013.58,9365.01,63.8,0,1,21696.01,high_intent
C1073,Ishita Joshi,ishita.joshi14@example.com,2024-01-15,WhatsApp,Fashion,81,15,209038.5,13935.9,2,8,1,2,3,0,7,-52.1,0.209,0.677,0.0,146326.95,44.1,1,0,28813.84,at_risk
C1074,Meera Sharma,meera.sharma15@example.com,2024-01-15,WhatsApp,Home & Kitchen,90,19,367464.55,19340.24,7,4,2,6,3,2,7,-29.7,0.139,0.328,0.0,257225.18,19.1,1,0,91866.14,at_risk
C1075,Neha Gupta,neha.gupta32@example.com,2024-01-15,Phone,Beauty & Care,20,27,73649.87,2727.77,46,99,9,1,22,14,1,8.3,0.058,0.118,22094.96,51554.91,5.0,0,1,159089.07,loyal
C1076,Siddharth Mehta,siddharth.mehta95@example.com,2024-01-15,SMS,Home & Kitchen,114,13,225717.44,17362.88,2,9,3,6,2,2,5,-73.8,0.263,0.413,0.0,22571.74,5.0,1,0,56429.36,at_risk
C1077,Kabir Chawla,kabir.chawla48@example.com,2024-01-15,SMS,Beauty & Care,4,27,302648.79,11209.21,39,98,16,2,17,4,2,27.0,0.071,0.284,90794.64,211854.15,8.6,0,1,683188.44,loyal
C1078,Arjun Mehta,arjun.mehta11@example.com,2024-01-15,WhatsApp,Sports & Fitness,46,3,4261.43,1420.48,7,16,2,1,6,3,2,-9.7,0.098,0.442,0.0,2983.0,203.0,1,0,1911.52,low_active
C1079,Vikram Verma,vikram.verma90@example.com,2024-01-15,WhatsApp,Home & Kitchen,190,2,2650.47,1325.24,0,4,1,2,0,0,2,-71.4,0.205,0.504,0.0,265.05,345.5,1,0,1000.0,dormant
C1080,Rahul Kumar,rahul.kumar32@example.com,2024-01-15,Email,Sports & Fitness,136,3,6650.48,2216.83,2,2,0,1,1,1,2,-68.6,0.2,0.753,0.0,665.05,78.3,1,0,1662.62,dormant
C1081,Priya Chawla,priya.chawla19@example.com,2024-01-15,Email,Beauty & Care,18,35,482366.9,13781.91,20,75,5,2,25,5,1,22.7,0.068,0.18,144710.07,337656.83,5.0,0,1,986019.77,loyal
C1082,Pooja Mehta,pooja.mehta84@example.com,2024-01-15,Push,Electronics,176,1,1278.4,1278.4,1,0,1,2,0,0,3,-89.5,0.231,0.355,0.0,127.84,420.0,1,0,1000.0,dormant
C1083,Meera Kumar,meera.kumar24@example.com,2024-01-15,WhatsApp,Electronics,83,23,440474.23,19151.05,2,3,2,6,1,1,5,-27.5,0.215,0.553,0.0,308331.96,7.5,1,0,110118.56,at_risk
C1084,Pooja Joshi,pooja.joshi63@example.com,2024-01-15,Email,Beauty & Care,57,23,183645.41,7984.58,7,6,1,4,1,1,5,-58.6,0.235,0.601,0.0,128551.79,27.4,1,0,26557.28,at_risk
C1085,Sanya Singh,sanya.singh22@example.com,2024-01-15,Phone,Home & Kitchen,18,4,10148.64,2537.16,8,11,1,3,2,2,2,-12.3,0.074,0.217,3044.59,7104.05,101.5,1,0,9998.22,low_active
C1086,Tanvi Sharma,tanvi.sharma16@example.com,2024-01-15,Email,Fashion,28,5,21849.74,4369.95,24,110,14,8,16,19,0,82.1,0.048,0.447,6554.92,15294.82,74.2,0,1,50175.3,high_intent
C1087,Rahul Gupta,rahul.gupta86@example.com,2024-01-15,Push,Fashion,5,28,336528.72,12018.88,26,39,5,1,8,9,0,26.6,0.017,0.121,100958.62,235570.1,5.0,0,1,787041.97,loyal
C1088,Karan Singh,karan.singh12@example.com,2024-01-15,Push,Electronics,23,4,3840.31,960.08,12,8,1,3,5,3,2,9.7,0.094,0.224,1152.09,2688.22,52.0,0,0,5596.26,low_active
C1089,Karan Verma,karan.verma67@example.com,2024-01-15,Email,Sports & Fitness,2,45,667484.76,14832.99,34,83,5,0,23,10,1,18.1,0.036,0.303,200245.43,467239.33,12.1,0,1,1040524.51,loyal
C1090,Priya Chawla,priya.chawla66@example.com,2024-01-15,WhatsApp,Home & Kitchen,167,1,2472.0,2472.0,0,1,1,2,2,1,3,-52.3,0.125,0.35,0.0,247.2,105.0,1,0,1000.0,dormant
C1091,Tanvi Joshi,tanvi.joshi47@example.com,2024-01-15,Phone,Sports & Fitness,42,1,2028.49,2028.49,15,8,5,1,5,4,0,-2.3,0.112,0.233,0.0,1419.94,494.0,0,0,2052.6,low_active
C1092,Kavya Singh,kavya.singh68@example.com,2024-01-15,SMS,Electronics,13,8,12590.39,1573.8,40,72,19,5,25,7,0,52.8,0.025,0.448,3777.12,8813.27,54.8,0,1,24753.33,high_intent
C1093,Rohan Verma,rohan.verma65@example.com,2024-01-15,Push,Fashion,18,15,159226.93,10615.13,52,96,15,0,21,9,2,31.1,0.051,0.341,47768.08,111458.85,8.5,0,1,368515.77,loyal
C1094,Kavya Sharma,kavya.sharma46@example.com,2024-01-15,Push,Home & Kitchen,58,26,204284.74,7857.11,4,4,4,3,0,1,6,-31.6,0.145,0.685,0.0,142999.32,24.8,1,0,28945.63,at_risk
C1095,Pooja Verma,pooja.verma45@example.com,2024-01-15,Email,Beauty & Care,18,13,190105.31,14623.49,53,59,5,1,16,15,1,6.5,0.072,0.232,57031.59,133073.72,47.5,0,1,248378.49,loyal
C1096,Rahul Singh,rahul.singh10@example.com,2024-01-15,Email,Sports & Fitness,174,2,1295.19,647.59,0,1,0,0,2,0,3,-62.3,0.244,0.614,0.0,129.52,107.5,1,0,1000.0,dormant
C1097,Kavya Chawla,kavya.chawla53@example.com,2024-01-15,Push,Home & Kitchen,26,7,42156.57,6022.37,69,112,10,4,14,8,0,51.8,0.07,0.634,12646.97,29509.6,27.3,0,1,100780.59,high_intent
C1098,Rohan Mehta,rohan.mehta66@example.com,2024-01-15,SMS,Sports & Fitness,146,2,1181.79,590.89,1,1,0,1,1,0,2,-76.0,0.24,0.834,0.0,118.18,232.0,1,0,1000.0,dormant
C1099,Karan Chawla,karan.chawla77@example.com,2024-01-15,WhatsApp,Fashion,15,2,11061.72,5530.86,20,66,17,5,14,18,1,39.4,0.035,0.585,3318.52,7743.2,172.5,0,1,24110.66,high_intent
C1100,Meera Singh,meera.singh25@example.com,2024-01-15,SMS,Beauty & Care,67,12,155065.85,12922.15,7,10,2,6,4,2,4,-71.1,0.295,0.694,0.0,108546.1,5.0,1,0,38766.46,at_risk
C1101,Rohan Kumar,rohan.kumar15@example.com,2024-01-15,WhatsApp,Beauty & Care,19,3,5938.24,1979.41,13,18,5,3,7,4,1,-5.7,0.103,0.405,1781.47,4156.77,158.7,0,0,6549.23,low_active
C1102,Priya Kumar,priya.kumar12@example.com,2024-01-15,Email,Sports & Fitness,15,35,486030.64,13886.59,20,80,8,1,21,13,1,33.8,0.076,0.281,145809.19,340221.45,10.3,0,1,1099079.61,loyal
C1103,Varun Verma,varun.verma60@example.com,2024-01-15,Push,Fashion,13,4,16874.32,4218.58,24,105,11,8,26,9,1,85.3,0.089,0.418,5062.3,11812.02,86.8,0,1,39798.64,high_intent
C1104,Pooja Gupta,pooja.gupta40@example.com,2024-01-15,Email,Home & Kitchen,7,23,165733.22,7205.79,53,44,7,1,23,11,2,33.4,0.079,0.138,49719.97,116013.25,5.9,0,1,392437.23,loyal
C1105,Karan Chawla,karan.chawla97@example.com,2024-01-15,Phone,Home & Kitchen,30,7,27830.53,3975.79,29,96,10,7,24,16,1,87.9,0.087,0.735,8349.16,19481.37,86.9,0,1,39105.7,high_intent
C1106,Kabir Rao,kabir.rao17@example.com,2024-01-15,Phone,Electronics,12,9,37766.94,4196.33,48,44,9,6,19,7,0,39.1,0.025,0.746,11330.08,26436.86,43.3,0,1,81372.17,high_intent
C1107,Tanvi Rao,tanvi.rao74@example.com,2024-01-15,SMS,Sports & Fitness,50,1,2999.38,2999.38,11,11,3,3,6,2,0,14.9,0.08,0.431,0.0,2099.57,423.0,0,0,3246.43,low_active
C1108,Siddharth Verma,siddharth.verma53@example.com,2024-01-15,Phone,Fashion,95,1,2199.29,2199.29,2,3,1,2,2,0,2,-77.6,0.14,0.377,0.0,219.93,116.0,1,0,1000.0,dormant
C1109,Pooja Mehta,pooja.mehta59@example.com,2024-01-15,Push,Sports & Fitness,96,3,5137.05,1712.35,2,2,0,1,0,1,2,-78.6,0.184,0.671,0.0,513.71,149.3,1,0,1046.33,dormant
C1110,Kabir Rao,kabir.rao29@example.com,2024-01-15,WhatsApp,Sports & Fitness,63,19,93679.1,4930.48,5,12,4,3,4,2,2,-41.4,0.204,0.609,0.0,65575.37,19.5,1,0,23041.02,at_risk
C1111,Meera Joshi,meera.joshi58@example.com,2024-01-15,Push,Fashion,24,10,70391.8,7039.18,25,94,24,6,10,11,1,58.6,0.065,0.751,21117.54,49274.26,68.8,0,1,82124.05,high_intent
C1112,Neha Patel,neha.patel53@example.com,2024-01-15,Email,Fashion,62,12,63339.11,5278.26,2,6,1,6,4,2,6,-73.6,0.251,0.548,0.0,44337.38,43.9,1,0,10967.16,at_risk
C1113,Ananya Singh,ananya.singh89@example.com,2024-01-15,Phone,Beauty & Care,24,2,2537.04,1268.52,6,10,4,0,5,3,2,-10.9,0.031,0.305,761.11,1775.93,82.0,0,0,3191.49,low_active
C1114,Sanya Chawla,sanya.chawla88@example.com,2024-01-15,SMS,Fashion,20,5,20247.93,4049.59,39,100,14,6,28,13,1,50.6,0.092,0.539,6074.38,14173.55,64.2,0,1,45609.87,high_intent
C1115,Meera Kumar,meera.kumar74@example.com,2024-01-15,SMS,Fashion,29,5,32968.72,6593.74,58,57,16,4,30,13,1,47.8,0.07,0.745,9890.62,23078.1,114.0,0,1,48729.56,high_intent
C1116,Riya Verma,riya.verma76@example.com,2024-01-15,Push,Electronics,187,1,794.15,794.15,1,3,0,1,0,0,3,-43.7,0.148,0.455,0.0,79.42,157.0,1,0,1000.0,dormant
C1117,Pooja Sharma,pooja.sharma63@example.com,2024-01-15,SMS,Sports & Fitness,14,5,39351.06,7870.21,44,50,19,5,10,11,0,54.5,0.046,0.653,11805.32,27545.74,16.8,0,1,93687.49,high_intent
C1118,Rahul Gupta,rahul.gupta27@example.com,2024-01-15,Push,Beauty & Care,5,42,144828.25,3448.29,43,25,7,0,16,7,0,9.5,0.019,0.138,43448.47,101379.77,5.0,0,1,337277.13,loyal
C1119,Riya Rao,riya.rao77@example.com,2024-01-15,WhatsApp,Home & Kitchen,8,31,325838.96,10510.93,22,31,12,3,22,5,0,11.4,0.034,0.324,97751.69,228087.27,14.9,0,1,538801.23,loyal
C1120,Ishita Rao,ishita.rao78@example.com,2024-01-15,Phone,Sports & Fitness,10,4,23356.5,5839.13,38,94,8,8,21,9,1,32.1,0.035,0.416,7006.95,16349.55,11.5,0,1,48597.86,high_intent
C1121,Neha Verma,neha.verma77@example.com,2024-01-15,WhatsApp,Sports & Fitness,18,44,263224.69,5982.38,47,95,5,3,23,4,2,11.2,0.016,0.13,78967.41,184257.28,9.1,0,1,470599.41,loyal
C1122,Arjun Singh,arjun.singh42@example.com,2024-01-15,Push,Electronics,14,5,14205.85,2841.17,66,120,11,10,28,17,1,45.5,0.06,0.676,4261.76,9944.09,9.2,0,1,32233.94,high_intent
C1123,Vikram Sharma,vikram.sharma55@example.com,2024-01-15,Push,Fashion,15,42,524690.46,12492.63,55,48,9,0,22,4,1,27.0,0.016,0.318,157407.14,367283.32,14.0,0,1,762361.65,loyal
